query,clicks,impressions,ctr,position
fia ruud,0,5,0,6.2
fire punch jack,0,5,0,7.6
flora farming life in another world,0,5,0,5
franky franklin height,0,5,0,8.6
funasshi,0,5,0,10
gabby chan anime,0,5,0,5.4
gabby daemons,0,5,0,6.6
gabbys daemons,0,5,0,9
gabu chan,0,5,0,7.6
gillian snatcher,0,5,0,4.8
gloria cyberpunk edgerunners,0,5,0,10.4
go woon true beauty,0,5,0,5
grashenka shoushou,0,5,0,5.4
guts character,0,5,0,30.4
hatsukoi no tonari,0,5,0,8.4
hibino kafka,0,5,0,37.4
hidenori,0,5,0,18
hisoka morow,0,5,0,25.8
hong ye seong hunter,0,5,0,4.8
housen classroom of the elite,0,5,0,11
how old is tome kurata,0,5,0,6.6
how tall is eris,0,5,0,9.6
how tall is genya shinazugawa,0,5,0,9.6
hwang solo leveling,0,5,0,28.2
iglaskar drama queen,0,5,0,7.4
integra hellsing gender,0,5,0,8.8
itami kaiju no 8,0,5,0,8.2
iura i am a hero,0,5,0,3.8
jagasaki,0,5,0,6.2
jay hong lookism height,0,5,0,7.8
ji dong,0,5,0,8
jjba oingo,0,5,0,15.4
jojo stroheim,0,5,0,9.6
kaien cross,0,5,0,6.8
kaiju no 8 characters mina,0,5,0,6.4
kawai a silent voice,0,5,0,12.8
ken tokyo ghoul,0,5,0,18.8
kingo manga,0,5,0,3.4
kogenta,0,5,0,8
kyoko i want to eat your pancreas,0,5,0,3.8
lagoon manhwa,0,5,0,8.2
longing for your rouge,0,5,0,5
lord gennon berserk,0,5,0,9
lord thanatos skeleton knight,0,5,0,7.4
lu chen manhwa,0,5,0,6.4
macho max manga,0,5,0,6.2
majikaja human,0,5,0,8.8
manhua,0,5,0,57
manhwa seon,0,5,0,4.2
mashimo sakamoto days,0,5,0,9.6
maybe meant to be characters,0,5,0,9
mio kusakai,0,5,0,4.2
my dearest self with malice aforethought kyouka,0,5,0,6.4
narnia koku monogatari,0,5,0,8.4
ojojojo,0,5,0,8.2
opera from welcome to demon school,0,5,0,6.4
orb jolenta,0,5,0,8.4
oscar soul land,0,5,0,8.4
park jongsoo,0,5,0,12.4
pheles shakugan no shana,0,5,0,4
pokemon adventures yellow,0,5,0,15.8
pokemon manga yellow,0,5,0,9
rafal orb on the movements of the earth,0,5,0,8.2
rafal orb: on the movements of the earth,0,5,0,8.8
ragna crimson leonica,0,5,0,9.8
read yakuza lover,0,5,0,22.8
reigen height,0,5,0,25.6
runcandel,0,5,0,8.6
sakamoto days heisuke,0,5,0,9.2
sakawa shizuku,0,5,0,5.6
sakurako the stranger by the beach,0,5,0,4.6
sapphire kawashima,0,5,0,6.4
shizu shidou,0,5,0,7.2
shizuku sakawa,0,5,0,7.2
silas karlisle,0,5,0,9.2
squala,0,5,0,7.2
subaru hoshina age,0,5,0,10
subaru in fragrant flower blooms with dignity,0,5,0,9.2
tanya the evil rudersdorf,0,5,0,7.6
tatsuya kaname,0,5,0,9.2
tencent86465,0,5,0,3.4
the apothecary diaries jinshi gender,0,5,0,9.8
the eminence in shadow claire,0,5,0,7.8
the faraway paladin reystov,0,5,0,8
the misfit of demon king academy anos voldigoad,0,5,0,9.8
the wrong way to use healing magic amako,0,5,0,5.2
the wrong way to use healing magic aul,0,5,0,8
tome kurata age,0,5,0,7.2
vampire knight manhwa,0,5,0,11.4
villainess level 99 yumiella,0,5,0,14.6
who invented odm gear,0,5,0,1.8
who is dadan in one piece,0,5,0,21.2
who is percival in seven deadly sins,0,5,0,9.2
